id,launch date,state_control,suit and belt,year,net profit,asset_beginning,asset_end,equity,liability,EBIT,current_asset,current_liability,RD,turnover,circulation
2109,39108,1,0,2013,61503779.88,1733884288,1891422878,1319367721,572055157,74638131.63,533303839.1,506126585.6,111474829.9,292163207,126000000
2109,39108,1,0,2014,-150625163.1,1891422878,1939607379,1167976384,771630995,-138930166,399410446.1,595080995,278756245.9,1055539677,126000000
2109,39108,1,0,2015,-134655623.9,1939607379,1773141002,1031714736,741426266,-111454989.3,332899390.3,609327717.4,297513645.2,119495368,565978054
2109,39108,1,0,2016,28168736.83,1773141002,4439175498,3122480822,1316694676,116120480.8,749469526.9,1316694676,337386136,2227428689,587743730
2109,39108,1,0,2017,206413021.4,4439175498,4122660397,3335858051,786802346.8,264156879.9,642432374.6,786802346.8,311083488.2,753529788,798162105
2109,39108,1,0,2018,238031212.4,4122660397,4315967997,3580550106,735417891.1,332771590.3,1046247695,635417891.1,426951755.3,664566982,1277061368
2110,39108,1,0,2012,-215436447.2,9021481117,8752744777,2737849475,6014895303,91313136.52,3781256938,4711713358,451717928.9,358847353,84500000
2110,39108,1,0,2013,53898311.57,8752744777,8595968326,2791747786,5804220540,310912946.1,3461979869,4627396566,493372089.4,698214741,84494637
2110,39108,1,0,2014,31952705.44,8595968326,8036859523,2593152146,5443707377,276487303.8,3100613871,4203703065,501277504.4,881658203,416670247
2110,39108,1,0,2015,-928636422.4,8036859523,7124119668,1649021904,5475097764,-1067592368,2297077687,4193545230,575606938.6,3534075664,888772877
2110,39108,1,0,2016,926534702.4,7124119668,12575399349,7297895852,5277503498,1378697185,5387996424,4491982586,593822923.9,2095283747,900201717
2110,39108,1,0,2017,3989725330,12575399349,15751268825,11011080762,4740188063,5366238678,8189690422,4180016237,598388262.8,1060287001,912107292
2110,39108,1,0,2018,6517221172,15751268825,28217868297,18411761829,9806106467,8752613429,16431589872,9263461270,709350205.1,1203660931,989143477
2111,39108,0,0,2012,88795172.3,1589843256,1820023836,1099888470,720135366.1,119097464.6,1119396231,630739805.7,87793842.31,293613848,27718642
2111,39108,0,0,2013,93086098.57,1820023836,2090718848,1167563086,923155762.3,122370470.9,1316698741,843086363.8,101166662.1,1083198749,55437284
2111,39108,0,0,2014,111117282.8,2090718848,2505772095,1254098710,1251673385,148625528.7,1698809968,1171059793,81528716.63,1540377261,254659306
2111,39108,0,0,2015,178113505.9,2505772095,3338843712,2046408210,1292435503,223702328.3,1973651541,1215909395,291833458.9,1469684795,254659306
2111,39108,0,0,2016,182794505.3,3338843712,4157572551,2779409864,1378162687,235657406.4,2477713765,1295029058,326594258.7,1963718933,268593404
2111,39108,0,0,2017,117772342.9,4157572551,4487760607,2671089631,1816670975,170630464.4,2898553518,1738584962,322390422.8,766701055,267329005
2111,39108,0,0,2018,235008339.6,4487760607,4577306150,2821638270,1755667879,288719008.9,2956798698,1590947233,346650792.7,923065784,240222690
2112,39121,1,0,2012,5875371.73,1141673019,1046747631,444772300.5,601975330.1,25756172.41,757210320.9,591975330.1,56190077.13,1547437776,139730000
2112,39121,1,0,2013,19534683.06,1046747631,1080606333,462066983.5,618539349.3,32488751.05,766230150.9,610439349.3,56152183.88,1793389654,135090000
2112,39121,1,0,2014,16037544.21,1080606333,1300881860,480988527.8,819893332,42088063.12,1003210193,812693332,54929163.11,2006403408,263779650
2112,39121,1,0,2015,9778270.68,1300881860,1433783243,484406585.2,949376657.5,33097861.13,1047161460,943076657.5,53055611.07,2193590828,268408275
2112,39121,1,0,2016,5256000.78,1433783243,1229936203,505410384.3,724525818.9,23564614.39,856011187.7,667643927.8,56050174.08,1578564894,270752513
2112,39121,1,0,2017,-124529059.6,1229936203,1168593483,378216755,790376728.3,-107718265.5,808792361.8,736048793.3,57080581.47,583911326,270752513
2112,39121,1,0,2018,6286029.44,1168593483,1002587459,384502784.4,618084675,26912215.68,678538699.5,566246898.5,68373707.32,407737417,270164663
2113,39121,0,0,2012,4987266.66,177975295.4,154482114.7,89674892.02,64807222.63,4979000.51,39035313.39,64807222.63,19382470.69,309035041,42000000
2113,39121,0,0,2013,3233130.54,154482114.7,118932977.7,93367415.36,25565562.35,2867432.73,8248416.98,25565562.35,34810701.69,480869077,42000000
2113,39121,0,0,2014,641274.38,118932977.7,118774965.1,94611094.77,24163870.37,616723.71,15062511.48,24163870.37,75747046.71,510243432,87562500
2113,39121,0,0,2015,-4388218.14,118774965.1,110879530.1,90725160.13,20154370.01,-3956559.36,15483399.15,20154370.01,75275401.98,752732585,89812500
2113,39121,0,0,2016,54113080.63,110879530.1,1117387988,948698303.8,168689684.1,51657876.64,305956427,167735417.5,77851457.74,409975949,91134375
2113,39121,0,0,2017,5386915.92,1117387988,3183090143,2671023082,512067060.9,-9284745.37,1215680718,510575304,89623410.38,327339539,184060825
2113,39121,0,0,2018,-376705121.9,3183090143,2784606173,2295419198,489186974.3,-249430853.5,925672970.4,359343025.7,128200360.7,254807524,192665165
2114,39128,1,0,2012,21278709.38,1082989173,839254611.6,213672212,625582399.6,68372015.37,271885191.7,622416208.7,159740170,205911675,64809050
2114,39128,1,0,2013,-50429810.67,839254611.6,1770039250,781605448.5,988433801.2,-8835312.06,512524969,908389484.5,174386225.8,235631091,96846241
2114,39128,1,0,2014,23325350.3,1770039250,1561249990,807060357,754189633.2,78332851.98,336501754.3,680908363.7,281025330.7,508207170,218396431
2114,39128,1,0,2015,17172236.81,1561249990,1789022682,827434373.7,961588307.9,62568065.93,508620551.9,882426805.3,291899719.4,2007118726,465843060
2114,39128,1,0,2016,81625552.07,1789022682,1892194371,908302172.9,983892197.7,131242680.1,548802537.2,898994344.3,308069867.8,523981052,520102694
2114,39128,1,0,2017,54712332.57,1892194371,2355346377,1810117874,545228503.4,86902245.8,609339440.5,451427222.1,344189259.3,481920112,515014542
2114,39128,1,0,2018,-258504373.7,2355346377,2194100380,1547596156,646504223.6,-234269179,424837753.6,480949229.8,448793928.9,316414228,527051434
2115,39128,0,0,2012,94243908.23,2062983663,1958264210,1125274262,832989948,119652688.2,1659755608,729043157.4,53383683.25,1139676555,63926250
2115,39128,0,0,2013,-145182141.2,1958264210,1986247971,945200846.1,1041047125,-119978324,1623779658,617512114.1,98922169.69,1637859420,102282000
2115,39128,0,0,2014,14780720,1986247971,2034648518,960073852.7,1074574665,36050470.12,1612840469,648253961.2,237552807.5,743698594,162563750
2115,39128,0,0,2015,19180299.55,2034648518,2067790652,969734267.3,1098056384,42589463.06,1495272309,671655097.2,268249373.7,1521959640,158453500
2115,39128,0,0,2016,25140539.69,2067790652,2609137323,988058633.6,1621078689,51088560.54,1778437460,968826224.9,265573835,946288196,206932431
2115,39128,0,0,2017,45684860.62,2609137323,4335708087,1893685504,2442022583,70495266.67,1927887302,2023498049,370554556.1,1356183938,677695683
2115,39128,0,0,2018,228494054.6,4335708087,4578247492,2461723315,2116524177,292633407.3,2117248931,1767605259,503145451.9,7527600610,862638458
2116,39128,1,0,2012,134086937.6,2377319658,2907142568,588438535.9,2318704032,148363302.3,2639586373,2314230563,144052374.9,382385173,54026320
2116,39128,1,0,2013,159472718,2907142568,3383333899,709740227.4,2673593672,180062438.5,3057072624,2664261880,199437744.3,625214582,112170340
2116,39128,1,0,2014,199184506.1,3383333899,3239584782,885594356.9,2353990425,222509769,2845061606,2338756601,180645261.1,931803522,275487800
2116,39128,1,0,2015,228000297.8,3239584782,3525115450,1101104337,2424011113,243993743.8,3111965349,2405930327,186680200.5,3459003786,551245944
2116,39128,1,0,2016,134272796.6,3525115450,3799023624,1155582639,2643440985,127711280.3,3407417622,2625079368,209609785.7,3309603864,554491828
2116,39128,1,0,2017,200693753,3799023624,3931356290,1318315735,2613040555,229767580.7,3561879846,2580736893,178887011.6,2528844738,559510620
2116,39128,1,0,2018,212198802.5,3931356290,4302837578,1432705470,2870132108,234166540.8,3948682941,2842432000,214363627.4,1752139661,554050305
2117,39143,0,0,2012,116451024.1,1350120871,1453688607,1159776167,293912439.2,129505406.8,664990828,293912439.2,59723226.76,130495769,41115664
2117,39143,0,0,2013,145289222.9,1453688607,1593769899,1246940241,346829658.3,171511118.2,821162993.1,346749658.3,58079984.1,179217328,41113864
2117,39143,0,0,2014,185946544.7,1593769899,1823896910,1370297510,453599400.1,215827048.5,1020137334,431020606.2,76340518,265636473,145162242
2117,39143,0,0,2015,232210151.4,1823896910,2028819936,1490223232,538596703.4,270469377.5,1176698605,522415753.8,82824711.77,905563275,290324484
2117,39143,0,0,2016,237684131,2028819936,2209097359,1592277711,616819648,277707472.7,1350463560,603259700.2,74540068.38,876737649,300220574
2117,39143,0,0,2017,230822728.3,2209097359,2236810809,1518129315,718681494.3,269783540.1,1317724595,659215493.5,121799959.2,1949182632,902573035
2117,39143,0,0,2018,257652499.7,2236810809,2312716836,1627614599,685102237,291462772.2,1331885341,631790081.6,173733806.9,2358034836,1083415250
2118,39143,0,0,2012,86306365.69,2789164038,3045392210,1895436111,1149956099,160483235.9,2030395195,1099140881,183077200.9,370216756,33811161
2118,39143,0,0,2013,50465021.82,3045392210,3778053002,1945934866,1832118136,144393206.9,2680377358,1230223272,185664533.1,488001058,34079878
2118,39143,0,0,2014,46948363.11,3778053002,4052417486,1995410853,2057006633,181609302.3,2941026349,1802732874,191092985.6,847804853,180199641
2118,39143,0,0,2015,39232133.88,4052417486,4998106954,2015183048,2982923906,182477161,3588286491,2733186901,194422162.3,1902330551,360399282
2118,39143,0,0,2016,162673778.3,4998106954,6633834594,3744652554,2889182040,354773998.5,4599949924,2147090769,253894391.7,3101670727,361653890
2118,39143,0,0,2017,371413523.2,6633834594,8879497809,4132299724,4747198085,626755268.2,6666449159,3480324889,257797607.3,1986741462,425399075
2118,39143,0,0,2018,173988001.3,8879497809,9919199058,4310414908,5608784150,456647949.8,7649425371,4304302202,323692032.4,821208505,434475848
2119,39143,0,0,2012,5796341.53,1664808091,1584191624,651405963.1,932785660.5,49495865.68,914535444.6,855683769.5,38516482.87,255618997,25000000
2119,39143,0,0,2013,21926485.59,1584191624,1615684641,754257071.3,861427569.8,61516925.01,906733375.1,791702194.8,38624171.49,310371423,39000000
2119,39143,0,0,2014,7616877.54,1615684641,1568385759,757418948.9,810966810.3,51039564.32,806026614.9,768413435.3,55220996.02,995667694,149140258
2119,39143,0,0,2015,-53987123.97,1568385759,1429241478,703431824.9,725809652.7,-31424178.73,660631712,685852027.7,57814966.92,1944532187,150970817
2119,39143,0,0,2016,51013167.18,1429241478,1588258374,754444992.1,833813382.1,83023939.64,818895184.8,775153982.4,45618653.49,645470857,167470817
2119,39143,0,0,2017,74758188.28,1588258374,1667301875,808583264.4,858718611.1,113987427.7,902953446.7,822093775.8,48740058.05,890386390,175616405
2119,39143,0,0,2018,92354978.63,1667301875,1680074738,809711289.1,870363448.4,140709388.6,903657937,821147351.9,50265792.64,665835012,183056171
2120,39147,0,0,2012,89495465.27,1108260045,867241773.2,527159961.9,340081811.3,125037942.5,410303406,200081811.3,45068540.99,387498637,58419358
2120,39147,0,0,2013,55059502.16,867241773.2,858924829.1,554597595.1,304327233.9,70588962.55,376878873.2,303327311.4,50894969.58,503586290,60389481
2120,39147,0,0,2014,102586686.3,858924829.1,812361755,612205800.2,200155954.8,122440378.6,341874913.1,200072911.1,58887603.99,692637738,139666026
2120,39147,0,0,2015,76905696.74,812361755,920055468.1,631175598,288879870.1,99384211.32,445599486.6,288324005.1,61105298.67,2354008781,237426813
2120,39147,0,0,2016,1181467088,920055468.1,6709340075,3754297470,2955042605,1592746791,3219562793,2922815602,68409589.07,3246203133,238083431
2120,39147,0,0,2017,1587455697,6709340075,9399558367,5253728260,4145830107,2139869221,4758409886,4099995469,100123807.5,1031914282,364445629
2120,39147,0,0,2018,2602278183,9399558367,18080928088,11541691289,6539236799,3532563075,10169834105,6478888797,123902206.8,1360902975,393072086
2121,39147,0,0,2012,82500345.71,2592908242,2774910058,1285990585,1488919473,143448115,1976632225,1407110060,445587593.1,253738772,54808000
2121,39147,0,0,2013,86083042.9,2774910058,2954936267,1356254731,1598681536,138059793.7,1962128680,1242217608,442225888.4,538823415,71448000
2121,39147,0,0,2014,128989529.1,2954936267,4674836328,1476105945,3198730384,203342993.4,2382764749,2477139234,565675781.4,605398584,165025009
2121,39147,0,0,2015,202032266.2,4674836328,10312977196,2435548993,7877428203,291156913,4469320530,5310678040,640874226,1561687881,351905768
2121,39147,0,0,2016,277100372.9,10312977196,12223676773,2792923307,9430753466,527058826.9,5775317831,5525401856,657986944.8,1772221336,711578639
2121,39147,0,0,2017,395713389.5,12223676773,15394167256,4899039224,10495128032,771178215.5,7616982462,7348938549,618581702,1679030638,729719019
2121,39147,0,0,2018,-1216636386,15394167256,13414369895,3654581807,9759788088,-844583351.9,6778674214,7556690091,612552006,1068151650,752164847
2122,39169,0,0,2012,225228556.2,7143936343,7255770699,5086778809,2168991890,294576081.7,4186861602,2010005109,149768769.8,306465350,104000000
2122,39169,0,0,2013,28954270.12,7255770699,7561497607,4979846687,2581650920,91127758.09,4536154806,1961959724,179531722.9,581930406,104000000
2122,39169,0,0,2014,35322778,7561497607,7495466323,4975730637,2519735686,126055818.4,4625189454,1810289160,169729738.9,1013292914,280213816
2122,39169,0,0,2015,53429519.3,7495466323,7555120855,4990254281,2564866574,132122361.6,4466900243,1866469211,174517089.4,2864931433,538592435
2122,39169,0,0,2016,-257523263,7555120855,6648367962,4679207908,1969160054,-178673462.9,3741662550,1511214612,177831182.5,1961268808,538592435
2122,39169,0,0,2017,44981422.81,6648367962,8602279491,4044969321,4557310170,294432840.3,6199919963,2308579791,192014166.2,1392423153,695468208
2122,39169,0,0,2018,-633974470.6,8602279491,7787609484,3402633984,4384975500,-484132179.4,5596881818,1695043246,248939035.1,2414929110,852192212
2123,39169,0,0,2012,108277382.3,3450506107,4214032345,2343415970,1870616374,171851019.9,3186784319,1713804901,19129384.94,813800521,64552500
2123,39169,0,0,2013,66271872.86,4214032345,4414479702,2294494455,2119985247,149296631.3,3452558380,1444979569,22305178.37,989463019,99201563
2123,39169,0,0,2014,-272861604,4414479702,3515678848,1825183698,1690495151,-220553740.6,2542980098,940554189.7,32629767.58,1020165759,280793673
2123,39169,0,0,2015,106402532.8,3515678848,7340079446,4856218960,2483860486,165218049.3,3859590796,1799422033,49281641.5,3469485843,691889486
2123,39169,0,0,2016,254426430.2,7340079446,6966661457,5140033589,1826627868,336257017.1,3201316996,1566295275,54738720.73,3678403278,693106859
2123,39169,0,0,2017,248409835.6,6966661457,6760137201,4920408408,1839728793,311377107.9,3065039166,1788344618,38177624.9,707021243,693647913
